n,m,d,b,strategy,mean_gap,std_gap
4006,100,1.0,100,na,16.439999999999998,2.8896366553599777
4006,100,1.0,1080,na,16.74,2.6191601707417593
4006,100,1.0,2060,na,16.139999999999997,3.4
4006,100,1.0,3040,na,16.389999999999997,3.1220986531498327
4672,100,1.0,1,na,17.979999999999997,3.5930488446443363
4672,100,1.0,20,na,17.579999999999995,2.9681644159311658
4672,100,1.0,40,na,19.079999999999995,3.3105890714493693
4672,100,1.0,60,na,19.529999999999994,4.380353866983808
4672,100,1.0,80,na,17.779999999999994,2.2693611435820435
4672,100,1.0,100,na,17.229999999999997,2.011839953873071
4672,100,1.0,1080,na,18.379999999999995,3.207802986469088
4672,100,1.0,2060,na,17.579999999999995,2.41039415863879
4672,100,1.0,3040,na,17.029999999999994,3.344772040064913
4672,100,1.0,4020,na,18.429999999999996,3.889408695418881
5338,100,1.0,1,na,20.169999999999998,3.3686050525402944
5338,100,1.0,20,na,18.32,3.479942528261063
5338,100,1.0,40,na,18.97,4.1865857210858595
5338,100,1.0,60,na,17.27,3.004579837514723
5338,100,1.0,80,na,20.32,3.6482872693909396
5338,100,1.0,100,na,19.22,3.4985711369071804
5338,100,1.0,1080,na,19.169999999999998,2.906458325866724
5338,100,1.0,2060,na,18.919999999999998,2.4515301344262523
5338,100,1.0,3040,na,18.619999999999997,3.8858718455450894
5338,100,1.0,4020,na,19.07,4.188973621306298
5338,100,1.0,5000,na,18.22,2.8354893757515653
6004,100,1.0,1,na,19.609999999999996,3.8376425054973526
6004,100,1.0,20,na,21.059999999999995,4.537620521815371
6004,100,1.0,40,na,19.059999999999995,2.6248809496813372
6004,100,1.0,60,na,20.359999999999996,3.2310988842807027
6004,100,1.0,80,na,20.859999999999996,4.4821869662029945
6004,100,1.0,100,na,19.909999999999997,3.383415434143434
6004,100,1.0,1080,na,19.459999999999997,2.924038303442689
6004,100,1.0,2060,na,19.509999999999998,3.106042498099471
6004,100,1.0,3040,na,21.809999999999995,4.911975162803655
6004,100,1.0,4020,na,19.459999999999997,2.2693611435820435
6004,100,1.0,5000,na,20.709999999999997,4.742098691507801
6309,100,1.0,1,na,20.15999999999999,3.7798809505062456
6309,100,1.0,20,na,21.00999999999999,3.3301651610693423
6309,100,1.0,40,na,20.359999999999992,2.8368115905008566
6309,100,1.0,60,na,19.95999999999999,2.71062723368596
6309,100,1.0,80,na,20.20999999999999,3.363034344160047
6309,100,1.0,100,na,18.70999999999999,3.5014282800023193
6309,100,1.0,1080,na,21.50999999999999,3.9293765408777004
6309,100,1.0,2060,na,20.75999999999999,3.7586566749305526
6309,100,1.0,3040,na,19.95999999999999,3.51390096616282
6309,100,1.0,4020,na,19.70999999999999,2.619160170741759
6309,100,1.0,5000,na,20.65999999999999,4.345975149491768
6670,100,1.0,1,na,22.15,4.015905875391006
6670,100,1.0,20,na,21.4,3.080584360149872
6670,100,1.0,40,na,21.85,3.2935543110748906
6670,100,1.0,60,na,20.4,3.315116890850155
6670,100,1.0,80,na,20.5,3.280243893371345
6670,100,1.0,100,na,20.95,3.102821296820041
6670,100,1.0,1080,na,23.05,3.519588044075613
6670,100,1.0,2060,na,20.5,3.57211421989835
6670,100,1.0,3040,na,20.6,2.7404379212089442
6670,100,1.0,4020,na,21.8,4.006245124802025
6670,100,1.0,5000,na,22.05,2.9979159427842537
7336,100,1.0,1,na,22.24,3.2619012860600183
7336,100,1.0,20,na,21.339999999999996,3.3778691508109073
7336,100,1.0,40,na,22.29,3.8376425054973526
7336,100,1.0,60,na,20.889999999999997,3.5478866949213583
7336,100,1.0,80,na,23.139999999999997,3.5566838487557484
7336,100,1.0,100,na,20.99,3.290516676754579
7336,100,1.0,1080,na,22.889999999999997,3.884263121880391
7336,100,1.0,2060,na,20.74,3.3896902513356584
7336,100,1.0,3040,na,20.839999999999996,3.3704599092705436
7336,100,1.0,4020,na,22.04,2.870540018881465
7336,100,1.0,5000,na,23.339999999999996,3.1
8002,100,1.0,1,na,23.130000000000006,3.48245602987317
8002,100,1.0,20,na,21.830000000000005,3.811495769379785
8002,100,1.0,40,na,24.28000000000001,4.712748667179271
8002,100,1.0,60,na,23.830000000000005,3.021175268004159
8002,100,1.0,80,na,23.03000000000001,3.680692869555948
8002,100,1.0,100,na,22.580000000000005,4.397726685459204
8002,100,1.0,1080,na,22.430000000000007,2.5975950415721076
8002,100,1.0,2060,na,21.930000000000007,2.8892040426387333
8002,100,1.0,3040,na,23.28000000000001,4.605431575867782
8002,100,1.0,4020,na,21.380000000000006,3.4698703145794947
8002,100,1.0,5000,na,21.78000000000001,3.009983388658482
8668,100,1.0,1,na,23.369999999999994,3.707762128292482
8668,100,1.0,20,na,28.319999999999993,7.76530746332687
8668,100,1.0,40,na,22.869999999999994,2.9744747435471695
8668,100,1.0,60,na,22.769999999999992,3.7212229172679243
8668,100,1.0,80,na,24.71999999999999,3.5411862419251547
8668,100,1.0,100,na,26.519999999999992,4.445222154178574
8668,100,1.0,1080,na,25.019999999999992,4.3943145085439665
8668,100,1.0,2060,na,22.069999999999993,3.191786333700926
8668,100,1.0,3040,na,23.169999999999995,4.396305266925854
8668,100,1.0,4020,na,23.869999999999994,3.1060424980994705
8668,100,1.0,5000,na,25.519999999999992,5.390732788777421
9334,100,1.0,1,na,25.65999999999999,3.96232255123179
9334,100,1.0,20,na,26.609999999999992,4.652687395473717
9334,100,1.0,40,na,26.05999999999999,4.24735211631906
9334,100,1.0,60,na,24.30999999999999,4.3849173310337335
9334,100,1.0,80,na,26.45999999999999,4.545327270945404
9334,100,1.0,100,na,24.70999999999999,4.532935031522071
9334,100,1.0,1080,na,23.45999999999999,3.558089374931439
